iter	Passed	Remaining
0	159	159028
1	161	80540
2	163	54344
3	165	41201
4	167	33283
5	168	27916
6	169	24072
7	170	21177
8	172	18989
9	174	17242
10	175	15775
11	176	14548
12	177	13510
13	179	12615
14	180	11850
15	181	11187
16	183	10582
17	184	10041
18	185	9560
19	186	9122
20	187	8729
21	188	8368
22	189	8054
23	190	7764
24	191	7486
25	192	7228
26	193	6983
27	194	6764
28	195	6562
29	197	6372
30	198	6189
31	198	6014
32	199	5858
33	201	5722
34	202	5592
35	204	5463
36	205	5341
37	207	5245
38	208	5136
39	209	5038
40	211	4940
41	214	4881
42	215	4792
43	218	4737
44	219	4649
45	220	4564
46	221	4484
47	222	4404
48	222	4327
49	224	4261
50	225	4199
51	227	4145
52	228	4079
53	229	4018
54	230	3960
55	231	3902
56	232	3846
57	233	3791
58	234	3745
59	235	3696
60	236	3647
61	237	3599
62	239	3560
63	240	3517
64	242	3485
65	243	3446
66	244	3404
67	245	3363
68	246	3323
69	247	3284
70	248	3245
71	248	3207
72	249	3171
73	250	3136
74	251	3100
75	252	3069
76	253	3036
77	254	3011
78	255	2983
79	257	2955
80	258	2931
81	259	2903
82	259	2870
83	260	2842
84	261	2819
85	262	2792
86	263	2768
87	264	2742
88	265	2717
89	266	2693
90	267	2669
91	268	2646
92	269	2626
93	270	2609
94	271	2587
95	272	2565
96	273	2544
97	274	2523
98	274	2502
99	275	2482
100	276	2463
101	277	2444
102	278	2425
103	279	2408
104	280	2390
105	281	2373
106	282	2355
107	283	2337
108	284	2321
109	284	2305
110	285	2288
111	286	2270
112	287	2254
113	288	2238
114	288	2223
115	289	2206
116	290	2190
117	291	2175
118	291	2160
119	292	2145
120	293	2130
121	293	2114
122	294	2100
123	295	2086
124	296	2072
125	297	2060
126	297	2046
127	298	2034
128	299	2022
129	300	2009
130	301	1997
131	301	1984
132	302	1972
133	303	1960
134	304	1949
135	304	1937
136	305	1926
137	306	1914
138	307	1903
139	308	1892
140	308	1881
141	309	1869
142	310	1861
143	311	1852
144	312	1843
145	313	1835
146	314	1827
147	315	1818
148	316	1808
149	317	1798
150	318	1788
151	318	1779
152	319	1769
153	320	1759
154	321	1750
155	321	1741
156	322	1732
157	323	1723
158	324	1715
159	325	1707
160	325	1698
161	326	1689
162	327	1680
163	328	1672
164	328	1664
165	329	1656
166	330	1648
167	331	1640
168	331	1632
169	332	1625
170	333	1617
171	334	1609
172	335	1602
173	336	1595
174	336	1587
175	337	1580
176	338	1573
177	339	1565
178	339	1558
179	340	1551
180	341	1544
181	342	1537
182	343	1531
183	343	1524
184	344	1518
185	345	1511
186	346	1504
187	346	1498
188	347	1491
189	348	1485
190	349	1478
191	349	1472
192	350	1467
193	351	1460
194	352	1455
195	353	1449
196	354	1443
197	354	1437
198	355	1431
199	356	1425
200	357	1419
201	357	1413
202	358	1408
203	359	1403
204	360	1397
205	361	1391
206	361	1386
207	362	1380
208	363	1375
209	364	1369
210	364	1364
211	365	1358
212	366	1353
213	367	1348
214	367	1343
215	368	1338
216	369	1333
217	370	1328
218	370	1323
219	371	1317
220	372	1312
221	373	1308
222	374	1303
223	374	1298
224	375	1294
225	376	1289
226	377	1285
227	378	1280
228	378	1275
229	379	1271
230	381	1268
231	382	1264
232	382	1260
233	383	1256
234	384	1252
235	385	1247
236	386	1244
237	387	1240
238	388	1236
239	389	1232
240	390	1228
241	390	1224
242	391	1220
243	392	1216
244	393	1212
245	394	1209
246	395	1206
247	396	1203
248	397	1199
249	398	1195
250	399	1191
251	400	1187
252	401	1184
253	401	1180
254	402	1177
255	403	1173
256	404	1170
257	405	1166
258	406	1163
259	407	1159
260	408	1155
261	409	1152
262	409	1148
263	410	1145
264	411	1141
265	412	1138
266	413	1135
267	414	1132
268	415	1128
269	416	1125
270	416	1121
271	417	1118
272	418	1115
273	419	1112
274	420	1108
275	421	1105
276	422	1103
277	423	1099
278	424	1097
279	425	1093
280	426	1090
281	427	1087
282	427	1084
283	428	1080
284	429	1077
285	430	1074
286	431	1071
287	432	1069
288	433	1066
289	434	1063
290	435	1060
291	436	1057
292	437	1055
293	438	1053
294	440	1052
295	441	1050
296	442	1047
297	443	1044
298	444	1041
299	445	1038
300	446	1036
301	447	1033
302	448	1031
303	449	1028
304	450	1026
305	451	1023
306	451	1020
307	452	1017
308	453	1014
309	454	1011
310	455	1008
311	456	1005
312	456	1003
313	457	1000
314	458	997
315	459	995
316	460	992
317	461	989
318	462	986
319	463	984
320	464	981
321	465	979
322	466	977
323	467	976
324	468	973
325	469	971
326	470	969
327	471	966
328	472	963
329	473	961
330	474	958
331	475	956
332	476	953
333	476	951
334	477	948
335	478	946
336	479	943
337	480	941
338	481	938
339	482	936
340	483	933
341	484	931
342	485	929
343	486	926
344	486	924
345	487	921
346	488	919
347	489	917
348	490	914
349	491	912
350	492	909
351	493	907
352	494	905
353	495	903
354	495	900
355	496	898
356	497	896
357	498	893
358	499	891
359	500	889
360	501	886
361	501	884
362	503	882
363	503	880
364	504	878
365	505	875
366	506	873
367	507	871
368	508	869
369	509	867
370	510	865
371	511	862
372	512	860
373	513	858
374	513	856
375	514	854
376	515	851
377	516	849
378	517	847
379	518	845
380	518	842
381	519	840
382	520	838
383	521	836
384	522	834
385	523	832
386	524	830
387	525	828
388	525	826
389	526	823
390	527	821
391	528	819
392	529	817
393	530	815
394	531	813
395	532	811
396	533	809
397	533	807
398	534	805
399	535	803
400	536	801
401	537	799
402	538	797
403	539	795
404	540	793
405	540	791
406	541	788
407	542	786
408	542	784
409	543	782
410	544	780
411	545	778
412	545	775
413	546	773
414	547	771
415	548	769
